id,rank,symbol,name,supply,maxSupply,marketCapUsd,volumeUsd24Hr,priceUsd,changePercent24Hr,vwap24Hr,explorer
bitcoin,1,BTC,Bitcoin,19732153.0000000000000000,21000000.0000000000000000,1330911088557.9439677982597110,12890585218.4305111239777973,67448.8530753812808870,-1.1804520729830331,68254.2420194103922307,https://blockchain.info/
ethereum,2,ETH,Ethereum,120228315.0196019700000000,NA,387549930918.5658320443851392,7468690159.4839715305610312,3223.4497410645725753,-1.5725231651007456,3267.9062238680729864,https://etherscan.io/
tether,3,USDT,Tether,114329209286.9243600000000000,NA,114408049814.9964818758345356,16005523850.5380855086669184,1.0006895921747719,0.0017225090774561,1.0009971062878805,https://www.omniexplorer.info/asset/31
binance-coin,4,BNB,BNB,166801148.0000000000000000,166801148.0000000000000000,96340027219.6003297660604748,250191924.0993816616569376,577.5741256864750701,-1.6995904094951235,584.7322416786876006,https://etherscan.io/token/0xB8c77482e45F1F44dE1745F52C74426C631bDD52
solana,5,SOL,Solana,464718334.2560264500000000,NA,84808296139.8327585240997929,1171567933.5635856353199598,182.4939751421760647,-1.1726607504035680,183.9310076392326014,https://explorer.solana.com/
usd-coin,6,USDC,USDC,34154176193.8154100000000000,NA,34177509213.2629578521763058,994109931.5957649404076372,1.0006831673911600,0.0176495829887573,1.0004901899879500,https://etherscan.io/token/0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
xrp,7,XRP,XRP,45404028640.0000000000000000,100000000000.0000000000000000,27290415277.0662931918637440,361357629.0052765897789041,0.6010571329131796,0.1092462543890707,0.5989089360326568,https://xrpcharts.ripple.com/#/graph/
dogecoin,8,DOGE,Dogecoin,145297656383.7052300000000000,NA,18877900489.0232843515415778,522663366.7590383832333666,0.1299257053339533,-3.4266319333823692,0.1334367789059727,http://dogechain.info/chain/Dogecoin
cardano,9,ADA,Cardano,35907786072.6670000000000000,45000000000.0000000000000000,14763236481.6053771797688676,197412686.9144859197073724,0.4111430443450021,-1.4478133790107656,0.4197406182979504,https://cardanoexplorer.com/
tron,10,TRX,TRON,87059237597.6216900000000000,NA,11944124871.1899020265038385,81869052.8163048266360411,0.1371953763987039,0.0015366091663569,0.1374004218989767,https://tronscan.org/#/
avalanche,11,AVAX,Avalanche,394837563.2647505400000000,715748719.0000000000000000,10919958420.9285875326718501,108067280.5124948512920986,27.6568377401479018,-3.6309907515798096,28.4096830821661216,https://avascan.info/
wrapped-bitcoin,12,WBTC,Wrapped Bitcoin,154782.1938814600000000,NA,10439859562.6268099729149048,21488170.2970706415495996,67448.7116432926403092,-1.2141784266157992,68347.6748705389516651,https://etherscan.io/token/0x2260fac5e5542a773aa44fbcfedf7c193bc2c599
shiba-inu,13,SHIB,Shiba Inu,589270540915465.4000000000000000,NA,9919942359.4476425823021745,111225460.0357626924195031,0.0000168342750412,-2.4916483577681653,0.0000171424740297,https://etherscan.io/token/0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce
chainlink,14,LINK,Chainlink,608099970.4527867000000000,NA,8138897042.7240342414501485,112706052.5962490489610919,13.3841431313734027,-1.9010579977378812,13.5887169306526213,https://etherscan.io/token/0x514910771af9ca656af840dff83e8264ecf986ca
polkadot,15,DOT,Polkadot,1392968633.6525700000000000,NA,8001162513.3310854752560612,66615894.9452561138616437,5.7439645947740063,-2.1563821019448635,5.8365250586714346,https://polkascan.io/polkadot
bitcoin-cash,16,BCH,Bitcoin Cash,19738909.3750000000000000,21000000.0000000000000000,7783856877.9128651519987528,136038305.6980934377294944,394.3407779039395459,2.8300017316884178,391.7768736337366314,https://blockchair.com/bitcoin-cash/blocks
